,soundname,nsyll,npause,dur(s),phonationtime(s),speechrate(nsyll / dur),articulation rate(nsyll / phonationtime),ASD(speakingtime / nsyll)
0,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\FAKS0\SA1.waV,13,0,3.968,3.968,3.276209677419355,3.8875598086124405,0.2572307692307692
1,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\FAKS0\SA2.waV,10,0,3.6288125,3.6288125,2.7557224298582526,3.9808917197452223,0.25120000000000003
2,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\FAKS0\SI1573.waV,19,0,4.9728125,4.9728125,3.8207754665996356,4.6568627450980395,0.21473684210526317
3,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\FAKS0\SI2203.waV,8,0,3.513625,3.513625,2.276850830694795,2.7427200068568003,0.3646015625
4,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\FAKS0\SI943.waV,12,0,3.7568125,3.7568125,3.194197208404731,3.959865117094449,0.2525338541666667
5,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\FAKS0\SX133.waV,10,0,3.31525,3.31525,3.0163637734710806,3.6315765581733177,0.27536249999999995
6,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\FAKS0\SX223.waV,9,0,3.097625,3.097625,2.9054517573947782,3.767562334842103,0.26542361111111107
7,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\FAKS0\SX313.waV,9,0,3.53925,3.53925,2.542911633820725,3.1232377564742113,0.3201805555555556
8,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\FAKS0\SX403.waV,10,0,3.36,3.36,2.9761904761904763,2.9761904761904763,0.33599999999999997
9,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\FAKS0\SX43.waV,7,1,2.45125,2.45125,2.855685874553799,3.973603916838147,0.25166071428571424
10,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\FDAC1\SA1.waV,13,0,5.28,5.28,2.462121212121212,2.462121212121212,0.4061538461538462
11,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\FDAC1\SA2.waV,11,0,4.16,4.16,2.644230769230769,3.2429245283018866,0.3083636363636364
12,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\FDAC1\SI1474.waV,11,0,4.4224375,4.4224375,2.4873161011320115,2.683438155136268,0.37265625
13,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\FDAC1\SI2104.waV,11,1,4.601625,4.601625,2.3904598918860183,2.5691180334569235,0.38923863636363637
14,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\FDAC1\SI844.waV,19,1,7.4368125,7.4368125,2.5548580120851505,2.7758247578001587,0.36025328947368424
15,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\FDAC1\SX124.waV,8,0,2.7328125,2.7328125,2.9273870783304745,3.3025013867925748,0.30280078125
16,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\FDAC1\SX214.waV,14,1,4.4288125,4.4288125,3.1611182455793734,3.5168699857127153,0.28434375
17,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\FDAC1\SX304.waV,8,0,4.21125,4.21125,1.8996734936182844,2.2016581237744677,0.454203125
18,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\FDAC1\SX34.waV,8,0,4.025625,4.025625,1.9872690575997516,3.04319916312023,0.3286015625
19,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\FDAC1\SX394.waV,9,0,3.8464375,3.8464375,2.3398274377264676,2.6760079165234196,0.37369097222222225
20,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\FELC0\SA1.waV,13,0,3.79525,3.79525,3.4253342994532643,3.885671586026527,0.25735576923076925
21,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\FELC0\SA2.waV,11,0,2.96325,2.96325,3.7121403864000677,4.164103534756068,0.2401477272727273
22,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\FELC0\SI1386.waV,21,0,5.52325,5.52325,3.8021092653781743,4.5242775967468285,0.22102976190476192
23,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\FELC0\SI2016.waV,8,1,3.4048125,3.4048125,2.3496154340363824,2.606871550477587,0.3836015625
24,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\FELC0\SI756.waV,14,0,4.192,4.192,3.3396946564885495,3.6157024793388426,0.2765714285714286
25,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\FELC0\SX126.waV,9,0,2.912,2.912,3.090659340659341,4.277566539923954,0.23377777777777778
26,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\FELC0\SX216.waV,8,0,2.19525,2.19525,3.644231864252363,3.644231864252363,0.27440625
